Summary Results Report,,,,,,,,,OFFICIAL RESULTS
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,,,,CACHE COUNTY
AMA,,,,,,,,,
STATISTICS,,,,,,,,,
,TOTAL,Mail,Provisional,,,,,,
Total Votes Cast,888,,100.00%,793,,,95,,
Contest Totals,909,,,811,,,98,,
PROPOSITION #2,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,,,Mail,,,Provisional,
FOR,355,,39.80%,313,,,42,,
AGAINST,537,,60.20%,486,,,51,,
Total Votes Cast,892,,100.00%,799,,,93,,
Contest Totals,909,,,811,,,98,,
PROPOSITION #3,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,,,Mail,,,Provisional,
FOR,367,,41.80%,321,,,46,,
AGAINST,511,,58.20%,461,,,50,,
Total Votes Cast,878,,100.00%,782,,,96,,
Contest Totals,909,,,811,,,98,,
Summary Results Report,,,,,,OFFICIAL RESULTS,,,
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,CACHE COUNTY,,,
NIB01,,,,,,,,,
PROPOSITION #4,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,,,Mail,,,Provisional,
FOR,350,,41.62%,304,,,46,,
AGAINST,491,,58.38%,443,,,48,,
Total Votes Cast,841,,100.00%,747,,,94,,
Contest Totals,909,,,811,,,98,,
Summary Results Report,,,,,,,,,OFFICIAL RESULTS
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,,,,CACHE COUNTY
NIB03,,,,,,,,,
STATISTICS,,,,,,,,,
,TOTAL,,,Mail,,Provisional,,,
Registered Voters,"1,064",,,,,,,,
Ballots Cast,800,,,744,,56,,,
Voter Turnout,75.19%,,,,,,,,
STRAIGHT PARTY,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
CONSTITUTION,0,0.00%,0,0,,,,,
DEMOCRATIC,14,6.80%,14,0,,,,,
GREEN,0,0.00%,0,0,,,,,
INDEPENDENT AMERICAN,13,6.31%,6,7,,,,,
LIBERTARIAN,1,0.49%,0,1,,,,,
REPUBLICAN,176,85.44%,164,12,,,,,
UNITED UTAH,2,0.97%,2,0,,,,,
Total Votes Cast,206,100.00%,186,20,,,,,
Contest Totals,800,,744,56,,,,,
U.S. SENATE,,,,,,,,,
Vote For 1,,,,,,,,,
