COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,BALLOTS CAST - REPUBLICAN,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Attorney General,Republican for Attorney General,Republican for State Senate District 16,Republican for State Senate District 16,Republican for State House District 61,Republican for State House District 61,Republican for State House District 66,Republican for State House District 66,Republican for State House District 56,Republican for State House District 56,Republican for State House District 48,Republican for State House District 48,Republican for County Recorder,Republican for County Recorder,Republican for County Commission Seat C,Republican for County Commission Seat C,Republican for State School Board District 13,Republican for State School Board District 13,
,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,BALLOTS CAST,BURGESS OWENS,KIM COLEMAN,TRENT CHRISTENSEN,"JAY ""JAYMAC"" MCFARLAND","THOMAS E. WRIGHT, ROB BISHOP","SPENCER J. COX, DEIDRE M. HENDERSON","JON HUNTSMAN JR., MICHELLE KAUFUSI","GREG HUGHES, VICTOR IVERSON",SEAN D. REYES,DAVID O. LEAVITT,CURT BRAMBLE,SYLVIA ANDREW,MARSHA JUDKINS,KENNETH GROVER,JEFFERSON S. BURTON,KARI L. MALKOVICH,MERRILEE BOYACK,KAY J. CHRISTOFFERSON,DAVID R. SHALLENBERGER,KEVEN J. STRATTON,ANDREA ALLEN,BRIAN VOEKS,TOM SAKIEVICH,R NATHAN IVIE,ALYSON WILLIAMS,RANDY BOOTHE,
25,0180,PR08,46,0,0,0,0,2,24,12,8,26,19,24,19,0,0,0,0,0,0,0,0,21,21,19,24,15,28,
25,0181,PR09,157,0,0,0,0,15,64,56,20,75,78,68,80,0,0,0,0,0,0,0,0,77,66,92,50,79,63,
25,0182,PR10,190,0,0,0,0,12,77,73,27,92,91,96,82,0,0,0,0,0,0,0,0,87,84,90,76,102,70,
25,0183,PR11,253,0,0,0,0,13,125,88,24,127,120,129,116,0,0,0,0,0,0,0,0,153,88,134,108,121,121,
25,0184,PR12,232,0,0,0,0,14,97,93,25,90,130,123,98,0,0,0,0,0,0,0,0,114,96,112,101,117,102,
25,0185,PR13,495,0,0,0,0,24,256,141,71,265,203,0,0,239,245,0,0,0,0,0,0,239,203,282,167,247,204,
25,0186,PR14,166,0,0,0,0,12,70,65,18,77,85,77,81,0,0,0,0,0,0,0,0,86,70,83,73,90,64,
25,0187,PR15,615,0,0,0,0,40,307,170,93,340,257,323,274,0,0,0,0,0,0,308,276,314,258,330,242,0,0,
25,0188,PR16,451,0,0,0,0,29,224,148,44,214,225,236,206,0,0,0,0,0,0,251,181,232,178,235,186,0,0,
25,0189,PR17,406,0,0,0,0,28,178,122,76,221,172,0,0,0,0,0,0,0,0,0,0,219,164,224,154,207,165,
25,0190,PR18,519,0,0,0,0,50,202,159,103,266,238,0,0,324,186,0,0,0,0,0,0,282,216,295,196,291,196,
25,0191,PR19,371,0,0,0,0,31,159,120,60,194,165,0,0,263,100,0,0,0,0,0,0,172,171,190,153,179,164,
25,0192,PR20,367,0,0,0,0,18,166,105,76,181,171,0,0,299,62,0,0,0,0,0,0,170,165,212,129,166,174,
25,0193,PR21,209,0,0,0,0,12,72,88,36,107,94,0,0,136,65,0,0,0,0,0,0,117,81,99,102,113,83,
25,0194,PR22,65,0,0,0,0,5,27,19,12,33,29,27,33,45,17,0,0,0,0,0,0,32,25,38,23,36,24,
25,0195,PR23,263,0,0,0,0,20,96,92,53,128,123,0,0,152,104,0,0,0,0,0,0,137,112,164,86,137,110,
25,0196,PR24,355,0,0,0,0,26,160,113,56,163,177,0,0,244,102,0,0,0,0,0,0,179,146,185,141,172,155,
25,0197,PR25,414,0,0,0,0,37,208,108,58,201,203,0,0,209,203,0,0,0,0,0,0,186,206,256,139,202,187,
25,0198,PR26,351,0,0,0,0,17,142,127,62,159,180,189,149,0,0,0,0,0,0,178,156,201,123,195,126,143,181,
25,0199,PR27,476,0,0,0,0,39,225,144,64,253,208,0,0,311,143,0,0,0,0,0,0,257,186,283,160,211,234,
25,0200,PR28,157,0,0,0,0,13,72,43,27,79,72,81,71,0,0,0,0,0,0,73,75,83,63,90,55,88,53,
25,0201,PR29,60,0,0,0,0,3,21,27,9,20,33,19,34,0,0,0,0,0,0,31,20,21,31,31,20,32,22,
25,0202,PR30,367,0,0,0,0,33,131,154,45,184,158,200,142,0,0,0,0,0,0,178,163,178,147,180,145,169,154,
25,0203,PR31,506,0,0,0,0,27,247,171,58,274,220,0,0,317,177,0,0,0,0,0,0,269,204,307,170,238,240,
25,0204,PR32,358,0,0,0,0,19,193,93,50,163,182,216,130,0,0,0,0,0,0,211,126,180,139,172,147,144,178,
25,0205,PR33,135,0,0,0,0,9,76,44,6,68,62,68,56,0,0,0,0,0,0,0,0,65,60,78,46,72,58,
25,0206,PR34,99,0,0,0,0,8,44,37,10,56,42,49,47,0,0,0,0,0,0,0,0,42,49,60,30,52,40,
25,0207,PR35,348,0,0,0,0,24,154,105,63,180,159,157,176,209,126,0,0,0,0,0,0,192,135,212,119,185,142,
25,0208,PR36,606,0,0,0,0,23,283,227,69,255,326,348,234,0,0,0,0,0,0,0,0,351,207,320,246,247,324,
25,0209,PR37,358,0,0,0,0,19,175,121,40,187,161,201,152,0,0,0,0,0,0,174,177,209,129,210,129,145,197,
25,0210,PR38,267,0,0,0,0,10,121,73,60,114,147,121,139,0,0,0,0,0,0,0,0,101,143,174,79,128,124,
25,0211,PR39,505,0,0,0,0,26,240,164,73,271,213,290,197,0,0,0,0,0,0,294,198,259,210,289,180,219,260,
25,0212,PR40,377,0,0,0,0,32,173,128,41,214,154,202,168,0,0,0,0,0,0,195,164,190,162,198,156,174,171,
25,0213,PR41,422,0,0,0,0,35,180,122,75,231,179,243,172,0,0,0,0,0,0,221,189,193,193,223,167,0,0,
25,0214,PR42,485,0,0,0,0,24,225,158,77,225,244,279,176,0,0,0,0,0,0,264,201,257,191,271,179,0,0,
25,0215,PR43,181,0,0,0,0,16,59,66,40,87,89,94,75,0,0,0,0,0,0,0,0,107,58,105,66,104,66,
25,0216,PR44,204,0,0,0,0,21,66,83,34,108,89,0,0,0,0,0,0,0,0,0,0,111,82,95,94,113,80,
25,0217,PR45,419,0,0,0,0,20,178,149,65,200,196,229,167,0,0,0,0,0,0,0,0,212,166,214,173,207,172,
25,0218,SA01,91,0,0,0,0,8,46,16,20,44,42,0,0,0,0,0,0,0,0,0,0,51,30,52,31,37,49,
25,0219,SA02,1074,0,0,0,0,99,553,204,214,632,393,0,0,0,0,677,338,0,0,0,0,606,371,553,436,0,0,
25,0220,SA03,687,0,0,0,0,60,346,150,127,368,305,0,0,0,0,392,266,0,0,0,0,408,233,341,299,0,0,
25,0221,SA04,294,0,0,0,0,19,145,61,64,150,129,0,0,0,0,127,141,0,0,0,0,151,107,157,110,120,155,
25,0222,SA05,107,0,0,0,0,8,34,32,32,58,48,0,0,0,0,0,0,0,0,0,0,54,53,69,37,0,0,
25,0223,SF01,218,0,0,0,0,19,94,52,52,126,86,0,0,0,0,135,70,0,0,0,0,143,63,99,105,75,136,
25,0224,SF02,352,0,0,0,0,30,184,80,55,193,150,0,0,0,0,213,118,0,0,0,0,201,120,189,144,120,222,
25,0225,SF03,300,0,0,0,0,26,109,104,61,140,152,0,0,0,0,182,100,0,0,0,0,191,90,147,136,117,171,
25,0226,SF04,394,0,0,0,0,26,185,95,86,216,161,0,0,0,0,0,0,0,0,0,0,245,121,225,143,199,174,
25,0227,SF05,381,0,0,0,0,33,129,118,97,204,167,0,0,0,0,215,147,0,0,0,0,241,117,198,158,151,215,
25,0228,SF06,331,0,0,0,0,22,168,76,64,188,130,0,0,0,0,190,125,0,0,0,0,184,127,180,135,82,237,
25,0229,SF07,133,65,28,14,21,12,62,32,25,74,56,0,0,0,0,78,45,0,0,0,0,99,28,77,50,0,0,
25,0230,SF07S,3,0,0,3,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,
25,0231,SF08,722,0,0,0,0,39,428,130,123,385,310,0,0,0,0,386,278,0,0,0,0,459,205,386,292,283,397,
25,0232,SF09,794,0,0,0,0,43,413,188,150,434,341,0,0,0,0,0,0,0,0,0,0,435,308,470,272,312,440,
25,0233,SF10,298,0,0,0,0,19,143,80,54,154,132,0,0,0,0,165,110,0,0,0,0,191,86,148,126,102,182,
25,0234,SF11,636,0,0,0,0,34,374,128,98,373,229,0,0,0,0,369,205,0,0,0,0,373,196,356,230,207,389,
25,0235,SF12,376,0,0,0,0,42,199,64,66,209,165,0,0,0,0,237,128,0,0,0,0,249,116,198,164,143,225,
25,0236,SF13,483,0,0,0,0,42,253,106,80,269,193,0,0,0,0,300,155,0,0,0,0,265,183,283,162,145,313,
25,0237,SF14,299,0,0,0,0,25,151,49,73,171,124,0,0,0,0,0,0,0,0,0,0,186,90,179,102,177,110,
25,0238,SF15,562,0,0,0,0,45,252,143,119,288,248,0,0,0,0,313,200,0,0,0,0,332,185,387,137,262,265,
25,0239,SF16,600,0,0,0,0,47,309,137,106,340,237,0,0,0,0,345,217,0,0,0,0,415,145,339,223,259,310,
25,0240,SF17,394,0,0,0,0,37,187,105,65,200,176,0,0,0,0,0,0,0,0,0,0,220,150,254,118,162,215,
25,0241,SP01,359,0,0,0,0,27,164,97,69,186,166,0,0,0,0,0,0,0,0,0,0,191,155,184,161,157,184,
25,0242,SP02,154,0,0,0,0,10,73,37,34,80,62,0,0,0,0,0,0,0,0,0,0,72,59,80,56,60,66,
25,0243,SP03,31,0,0,0,0,1,17,6,7,18,11,0,0,0,0,0,0,0,0,0,0,16,13,19,10,10,19,
25,0244,SP04,342,0,0,0,0,23,137,108,72,189,139,0,0,0,0,0,0,0,0,0,0,178,129,188,116,154,155,
25,0245,SP05,360,0,0,0,0,30,161,95,73,191,155,0,0,0,0,0,0,0,0,0,0,197,134,162,166,149,175,
25,0246,SP06,476,0,0,0,0,27,231,133,83,238,221,0,0,0,0,0,0,0,0,0,0,255,177,245,187,203,235,
25,0247,SP07,754,0,0,0,0,28,361,213,143,379,333,0,0,0,0,0,0,0,0,0,0,386,290,401,276,336,344,
25,0248,SP08,308,0,0,0,0,26,116,85,80,154,146,0,0,0,0,0,0,0,0,0,0,175,111,133,159,128,159,
25,0249,SP09,457,0,0,0,0,38,188,111,119,245,199,0,0,0,0,0,0,0,0,0,0,261,178,245,193,192,248,
25,0250,SP10,366,0,0,0,0,20,165,105,74,196,166,0,0,0,0,0,0,0,0,0,0,209,142,166,174,153,197,
25,0251,SP11,449,0,0,0,0,29,179,149,90,227,199,0,0,0,0,0,0,0,0,0,0,244,164,206,201,229,186,
25,0252,SP12,342,0,0,0,0,26,133,108,73,162,165,0,0,0,0,0,0,0,0,0,0,191,118,179,132,145,167,
25,0253,SP13,189,0,0,0,0,6,90,48,44,90,89,0,0,0,0,0,0,0,0,0,0,109,60,85,85,94,82,
25,0254,SP14,390,0,0,0,0,31,166,118,74,207,173,0,0,0,0,0,0,0,0,0,0,237,129,196,172,154,208,
25,0255,SP15,226,0,0,0,0,11,113,67,33,123,94,0,0,0,0,0,0,0,0,0,0,122,83,126,81,123,83,
25,0256,SP16,264,0,0,0,0,25,104,62,71,119,137,0,0,0,0,0,0,0,0,0,0,131,116,141,105,128,119,
25,0257,SP17,107,36,28,14,22,5,43,37,21,55,49,0,0,0,0,0,0,0,0,0,0,63,38,58,44,0,0,
25,0258,SP18,195,0,0,0,0,16,85,55,38,90,100,0,0,0,0,0,0,0,0,0,0,107,80,110,75,99,84,
25,0259,SQ01,527,225,127,61,94,39,220,97,164,315,196,0,0,0,0,0,0,0,0,0,0,281,222,311,192,0,0,
25,0260,SQ02,813,372,171,90,145,72,311,191,235,462,330,0,0,0,0,0,0,0,0,0,0,424,335,478,274,0,0,
25,0261,SQ03,494,0,0,0,0,41,182,110,160,282,199,0,0,0,0,0,0,0,0,0,0,252,214,293,168,0,0,
25,0262,SQ04,209,0,0,0,0,12,92,44,60,114,93,0,0,0,0,0,0,0,0,0,0,110,92,116,86,0,0,
25,0263,SR01,644,278,148,77,124,35,291,164,153,346,277,0,0,0,0,0,0,0,0,0,0,312,281,407,188,0,0,
25,0264,SR02,478,212,109,37,96,31,186,159,102,264,196,0,0,0,0,0,0,0,0,0,0,222,210,260,175,0,0,
25,0265,SR03,542,228,139,62,93,32,219,161,123,329,186,0,0,0,0,0,0,0,0,0,0,244,250,318,184,0,0,
25,0266,SR04,269,113,50,39,58,22,97,89,59,144,117,0,0,0,0,0,0,0,0,0,0,141,117,139,118,0,0,
25,0267,SR05,440,181,105,46,89,36,162,151,90,248,180,0,0,0,0,0,0,0,0,0,0,225,191,269,143,0,0,
25,0268,SR06,527,189,138,72,102,47,232,156,90,272,229,0,0,0,0,0,0,0,0,0,0,259,219,288,181,0,0,
25,0269,SR07,571,269,177,34,78,37,178,192,162,318,235,0,0,0,0,0,0,0,0,0,0,220,310,365,159,0,0,
25,0270,SR08,429,227,89,35,69,40,143,127,117,222,196,0,0,0,0,0,0,0,0,0,0,177,220,268,136,0,0,
25,0271,SR09,538,259,134,37,95,27,199,162,147,316,208,0,0,0,0,0,0,0,0,0,0,242,262,344,161,0,0,
25,0272,SR10,522,270,134,28,82,36,157,145,179,251,256,0,0,0,0,0,0,0,0,0,0,222,264,322,165,0,0,
25,0273,UCBE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0274,UCBE2,22,0,0,0,0,3,13,2,4,11,11,0,0,0,0,0,0,0,0,0,0,12,8,9,11,0,0,
25,0275,UCCB1,81,0,0,0,0,4,43,19,15,36,43,0,0,0,0,0,0,0,0,0,0,49,26,61,17,42,39,
25,0276,UCCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0277,UCCF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0278,UCEL1,43,14,5,14,9,1,25,3,14,21,21,0,0,0,0,0,0,0,0,0,0,23,19,27,16,0,0,
25,0279,UCEL2,37,20,3,4,9,3,11,8,15,23,14,0,0,0,0,0,0,0,0,0,0,15,22,22,14,0,0,
25,0280,UCFF,4,2,0,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,
25,0281,UCLS1,362,145,76,51,78,32,175,70,83,208,144,0,0,0,0,192,154,0,0,0,0,252,86,193,161,0,0,
25,0282,UCLS2,137,50,38,24,18,7,61,39,29,78,57,0,0,0,0,0,0,0,0,0,0,95,35,60,76,0,0,
25,0283,UCLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0284,UCPC1,63,0,0,0,0,2,21,24,15,27,35,39,23,0,0,0,0,0,0,35,26,25,33,43,18,0,0,
25,0285,UCPC2,38,0,0,0,0,5,12,18,3,14,21,21,14,0,0,0,0,0,0,0,0,17,17,19,16,0,0,
25,0286,UCSL,134,0,0,0,0,10,46,35,41,73,61,0,0,0,0,0,0,0,0,0,0,88,39,75,56,0,0,
25,0287,UCUL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0288,UCUL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0289,VI01,934,0,0,0,0,58,393,318,161,553,342,0,0,0,0,0,0,0,0,0,0,503,352,516,335,0,0,
25,0290,VI01S,40,0,0,0,0,3,21,11,5,18,22,0,0,0,0,0,0,0,0,0,0,23,17,27,13,0,0,
25,0291,VI01S2,24,0,0,0,0,1,16,2,4,11,13,0,0,0,0,0,0,0,0,0,0,9,13,17,5,0,0,
25,0292,VI01UL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0293,VI02,139,0,0,0,0,8,47,49,34,64,74,0,0,0,0,0,0,0,0,0,0,79,53,82,50,0,0,
25,0294,WH01,489,0,0,0,0,38,260,96,90,238,233,0,0,0,0,159,319,0,0,0,0,223,224,258,196,0,0,
25,ZZZ,COUNTY TOTALS,107069,8213,4407,1987,3708,7420,47588,30365,21067,56361,47149,6719,5448,3773,2082,4687,3121,3532,4984,4250,4293,55674,43084,59868,39088,12978,14094,
