U.S. REPRESENTATIVE DISTRICT #3,,,,,,,,,,,,,,,,,,
,,JOHN CURTIS (REP),,,,JAMES COURAGE SINGER (DEM),,,,TIMOTHY L. ZEIDNER,,,,GREGORY  C. DUERDEN,,,,
,Registered Voters,Vote Center,VBM,Early Voting,Total Votes,Vote Center,VBM,Early Voting,Total Votes,Vote Center,VBM,Early Voting,Total Votes,Vote Center,VBM,Early Voting,Total Votes,Total
SHL006,358,9,133,5,147,7,112,5,124,0,8,0,8,0,5,0,5,284
SIL001,10,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,4
SIL003,30,2,9,1,12,0,11,0,11,1,1,0,2,1,0,0,1,26
SIL009,99,2,22,1,25,4,34,1,39,0,2,0,2,0,1,1,2,68
SIL013,51,3,23,0,26,0,10,0,10,1,1,0,2,0,1,0,1,39
SNB001,12,0,0,0,0,0,7,0,7,0,0,0,0,0,1,0,1,8
WCN001,442,10,193,1,204,16,124,0,140,2,7,0,9,1,4,0,5,358
WCR002,28,2,13,0,15,1,10,1,12,0,0,0,0,0,0,0,0,27
WCR003,55,0,29,0,29,1,18,0,19,0,1,0,1,0,1,0,1,50
WCR005,967,21,408,7,436,15,309,5,329,1,15,0,16,1,10,1,12,793
WHT001,606,18,231,1,250,22,197,3,222,1,9,0,10,3,15,0,18,500
WHT002,505,11,167,1,179,14,153,3,170,1,10,1,12,1,11,0,12,373
WHT003,589,25,220,3,248,14,159,6,179,1,19,0,20,5,8,0,13,460
WHT004,609,21,220,2,243,18,176,3,197,0,15,0,15,5,13,0,18,473
WHT005,539,15,173,1,189,12,190,5,207,1,10,0,11,3,19,0,22,429
Total:,105684,3563,41720,504,45787,3226,32249,793,36268,178,1948,26,2152,294,1240,37,1571,85778
